		Solar altitude? (deg.)
		KEW.FWT
Date	Time	
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	8.8
	09:00	16.6
	10:00	23.1
	11:00	27.6
	12:00	29.6
	13:00	28.9
	14:00	25.6
	15:00	20.0
	16:00	12.8
	17:00	4.4
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Thu, 27/Feb	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.4
	08:00	9.1
	09:00	17.0
	10:00	23.4
	11:00	28.0
	12:00	30.0
	13:00	29.3
	14:00	25.9
	15:00	20.3
	16:00	13.1
	17:00	4.7
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Fri, 28/Feb	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.7
	08:00	9.4
	09:00	17.3
	10:00	23.8
	11:00	28.3
	12:00	30.4
	13:00	29.7
	14:00	26.3
	15:00	20.7
	16:00	13.4
	17:00	5.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sat, 01/Mar	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	1.0
	08:00	9.8
	09:00	17.7
	10:00	24.2
	11:00	28.7
	12:00	30.8
	13:00	30.0
	14:00	26.6
	15:00	21.0
	16:00	13.7
	17:00	5.3
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sun, 02/Mar	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	1.3
	08:00	10.1
	09:00	18.0
	10:00	24.5
	11:00	29.1
	12:00	31.1
	13:00	30.4
	14:00	27.0
	15:00	21.3
	16:00	14.0
	17:00	5.6
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
